A040431,0,,269048,,,GKE-A,WEGE-1,,2004-04-16,2004-04-19,35000,Abschlag Kracke 03.04 WEG Egonstraße 1./2. OG
A040431,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-04-01,2004-04-30,14400,
A040431,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-04-01,2004-04-30,20600,
A040519,0,,442918,,,GKE-A,WEGE-1,,2004-05-14,2004-05-17,24400,Hausgeld 05.04 abzüglich Überzahlung 04.04
A040519,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-05-01,2004-05-31,14400,
A040519,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-05-01,2004-05-31,10000,
A040520,0,,442918,,,GKE-A,WEGE-1,,2004-05-14,2004-05-17,30000,Hausgeld (oder Sonderumlage?)
A040520,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-05-17,2004-05-17,15000,
A040520,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-05-17,2004-05-17,15000,
A040521,0,,442918,,,GKE-A,WEGE-1,,2004-05-14,2004-05-17,70518,Sonderumlage vom 11.05.2004
A040521,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-05-17,2004-05-17,30027,
A040521,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-05-17,2004-05-17,40491,
A040623,0,,103305,,,GKE-A,WEGE-1,,2004-06-11,2004-06-14,29700,Hausgeld
A040623,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-06-01,2004-06-30,14400,
A040623,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-06-01,2004-06-30,15300,
A040723,0,,623669,,,GKE-A,WEGE-1,,2004-07-14,2004-07-15,29700,Hausgeld
A040723,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-07-01,2004-07-31,14400,
A040723,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-07-01,2004-07-31,15300,
A040801,0,,221461,,,GKE-A,WEGE-1,,2004-08-02,2004-08-03,169175,"Sonderumlage Egonstr. 38,FR vom 13.07.04"
A040801,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-08-03,2004-08-03,2902,Sonderumlage Regenwasseranschluß VH
A040801,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-08-03,2004-08-03,2839,Sonderumlage Regenwasseranschluß VH
A040801,3,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-08-03,2004-08-03,82614,Sonderumlage Hinterhofanlage allg.
A040801,4,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-08-03,2004-08-03,80820,Sonderumlage Hinterhofanlage allg.
A040826,0,,199139,,,GKE-A,WEGE-1,,2004-08-18,2004-08-19,29700,Hausgeld
A040826,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-08-01,2004-08-31,14400,
A040826,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-08-01,2004-08-31,15300,
A040924,0,,423357,,,GKE-A,WEGE-1,,2004-09-15,2004-09-16,29700,Hausgeld
A040924,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-09-01,2004-09-30,14400,
A040924,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-09-01,2004-09-30,15300,
A041030,0,,583661,,,GKE-A,WEGE-1,,2004-10-21,2004-10-22,29700,Hausgeld
A041030,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-10-01,2004-10-31,14400,
A041030,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-10-01,2004-10-31,15300,
A041118,0,,092901,,,GKE-A,WEGE-1,,2004-11-15,2004-11-16,29700,Hausgeld
A041118,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-11-01,2004-11-30,14400,
A041118,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-11-01,2004-11-30,15300,
A041220,0,,360571,,,GKE-A,WEGE-1,,2004-12-09,2004-12-10,29700,Hausgeld
A041220,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2004-12-01,2004-12-31,14400,
A041220,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2004-12-01,2004-12-31,15300,
A041237,0,,723844,,,GKE-A,WEGE-1,,2004-12-23,2004-12-27,85612,Soli Uml Mauer v. 26.11.04 Whg 1.+2.OG
A041237,1,0,Fract,GKE,WEGE,Abschlag,Egon-O1,,2004-12-27,2004-12-27,1842,Sonderumlage lt. Protokoll v. 08.April 2004
A041237,2,0,Fract,GKE,WEGE,Abschlag,Egon-O2,,2004-12-27,2004-12-27,1802,Sonderumlage lt. Protokoll v. 08.April 2004
A041238,0,,517724,,,GKE-A,WEGE-1,,2004-12-27,2004-12-28,29700,Hausgeld
A041238,1,0,Absol,GKE,WEGE,Abschlag,Egon-O1,,2005-01-01,2005-01-31,14400,
A041238,2,0,Absol,GKE,WEGE,Abschlag,Egon-O2,,2005-01-01,2005-01-31,15300,
B07011,0,,DebNot,,,GKE-B,DB-F-0,,2007-01-01,2007-01-01,920,Kontogebühr
B07011,1,0,Fract,DB-F,GKE,Konto,GKE-B,,2007-01-01,2007-12-31,100,
B07122,0,,DebNot,,,GKE-B,FAMT-0,,2007-12-30,2007-12-30,305,Solidaritätszuschlag auf Zinsen
B07122,1,0,Fract,FAMT,GKE,Soli,GKE-B,,2007-12-30,2007-12-30,100,
B07123,0,,DebNot,,,GKE-B,FAMT-0,,2007-12-30,2007-12-30,5559,Zinsabschlagsteuer auf Zinsen
B07123,1,0,Fract,FAMT,GKE,ZASt,GKE-B,,2007-12-30,2007-12-30,100,
B07124,0,,Credit,,,DB-F-0,GKE-B,,2007-12-30,2007-12-30,61830,Zinsen
B07124,1,0,Fract,GKE,DB-F,Zins,GKE-B,,2007-01-01,2007-12-31,100,
B08001,0,,DebNot,,,GKE-B,DB-F-0,,2008-01-01,2008-01-01,920,Kontogebühr
B08001,1,0,Fract,DB-F,GKE,Konto,GKE-B,,2008-01-01,2008-12-31,100,
B08014,0,,DebNot,,,GKE-B,FAMT-0,,2008-12-30,2008-12-30,501,Solidaritätszuschlag auf Zinsen
B08014,1,0,Fract,FAMT,GKE,Soli,GKE-B,,2008-12-30,2008-12-30,100,
B08015,0,,DebNot,,,GKE-B,FAMT-0,,2008-12-30,2008-12-30,9122,Zinsabschlagsteuer auf Zinsen
B08015,1,0,Fract,FAMT,GKE,ZASt,GKE-B,,2008-12-30,2008-12-30,100,
B08016,0,,Credit,,,DB-F-0,GKE-B,,2008-12-30,2008-12-30,73709,Zinsen
B08016,1,0,Fract,GKE,DB-F,Zins,GKE-B,,2008-01-01,2008-12-31,100,
B09001,0,,DebNot,,,GKE-B,DB-F-0,,2009-01-01,2009-01-01,920,Kontogebühr
B09001,1,0,Fract,DB-F,GKE,Konto,GKE-B,,2009-01-01,2009-01-01,100,
B09003,0,,DebNot,,,GKE-B,FAMT-0,,2009-08-26,2009-08-26,138,Solidaritätszuschlag auf Zinsen
B09003,1,0,Fract,FAMT,GKE,Soli,GKE-B,,2009-08-26,2009-08-26,100,
B09004,0,,DebNot,,,GKE-B,FAMT-0,,2009-08-26,2009-08-26,2512,Zinsabschlagsteuer auf Zinsen
B09004,1,0,Fract,FAMT,GKE,ZASt,GKE-B,,2009-08-26,2009-08-26,100,
B09005,0,,Credit,,,DB-F-0,GKE-B,,2009-08-26,2009-08-26,53346,Zinsen
B09005,1,0,Fract,GKE,DB-F,Zins,GKE-B,,2009-08-26,2009-08-26,100,
B09006,0,,Transf,GKE,GKE,GKE-B,GKE-D,,2009-08-26,2009-08-26,3307827,69130043-01 Deutsche Bank Bauspar AG
B09007,0,,DebNot,,,GKE-B,DB-F-0,,2009-01-19,2009-01-19,80000,Abschlussgebühr neuer Bausparvertrag
B09007,1,0,Fract,DB-F,GKE,Konto,GKE-B,,2009-01-19,2009-01-19,100,
B09020,0,,DebNot,,,GKE-B,FAMT-0,,2009-12-30,2009-12-30,80,Solidaritätszuschlag auf Sonderzinsen
B09020,1,0,Fract,FAMT,GKE,Soli,GKE-B,,2009-12-30,2009-12-30,100,
B09021,0,,DebNot,,,GKE-B,FAMT-0,,2009-12-30,2009-12-30,1448,Zinsabschlagsteuer auf Sonderzinsen
B09021,1,0,Fract,FAMT,GKE,ZASt,GKE-B,,2009-12-30,2009-12-30,100,
B09022,0,,Credit,,,DB-F-0,GKE-B,,2009-12-30,2009-12-30,5792,Sonderzinsen
B09022,1,0,Fract,GKE,DB-F,Zins,GKE-B,,2009-12-30,2009-12-30,100,
B09023,0,,DebNot,,,GKE-B,FAMT-0,,2009-12-30,2009-12-30,27,Solidaritätszuschlag auf Zinsen
B09023,1,0,Fract,FAMT,GKE,Soli,GKE-B,,2009-12-30,2009-12-30,100,
B09024,0,,DebNot,,,GKE-B,FAMT-0,,2009-12-30,2009-12-30,483,Zinsabschlagsteuer auf Zinsen
B09024,1,0,Fract,FAMT,GKE,ZASt,GKE-B,,2009-12-30,2009-12-30,100,
B09025,0,,Credit,,,DB-F-0,GKE-B,,2009-12-30,2009-12-30,1932,Zinsen
